emp_no,first_name,last_name,title,from_date,salary
110183,Shirish,Ossenbruggen,Manager,1985-01-01,48291
234495,Zdislav,Ferriere,Engineer,1985-02-01,40000
43969,Sajjad,Benzmuller,Technique Leader,1985-02-02,40000
14955,Boguslaw,Kalefeld,Assistant Engineer,1985-02-03,45564
21470,Kousuke,Botman,Staff,1985-02-04,45639
35648,Dharmaraja,Schaaf,Staff,1985-02-05,40000
13684,Elvia,Christ,Senior Staff,1985-02-06,79100
37970,Cathie,Woycyznski,Staff,1985-02-07,60997
86155,Tadahiko,Luke,Technique Leader,1985-02-08,48156
43035,Sven,Picaronny,Staff,1985-02-09,40000
51086,Mohit,Rosch,Engineer,1985-02-10,48047
22441,Angus,Neiman,Senior Engineer,1985-02-11,64361
23406,Masadi,Masada,Staff,1985-02-12,65602
27009,Yakichi,Oehlmann,Technique Leader,1985-02-13,40000
26750,Baziley,Denis,Staff,1985-02-14,70070
61238,Kagan,Schach,Staff,1985-02-15,52163
55711,Uzi,Mamelak,Engineer,1985-02-16,61290
22894,Muzhong,Casley,Senior Staff,1985-02-17,76090
10009,Sumant,Peac,Assistant Engineer,1985-02-18,60929
18316,Hongzue,Msuda,Senior Engineer,1985-02-19,54186
42460,Angel,Vrecion,Engineer,1985-02-20,45978
33585,Pasqua,Junot,Engineer,1985-02-21,40000
14899,Alejandro,Casley,Staff,1985-02-22,64365
35096,Gaetan,Olivero,Engineer,1985-02-23,40000
30983,Nidapan,Petersohn,Staff,1985-02-24,40000
19202,Tommaso,Munke,Staff,1985-02-25,72229
16832,Mads,Binkley,Engineer,1985-02-26,51405
12815,Sushant,Junot,Staff,1985-02-27,65073
12025,Jaewoo,Heiserman,Staff,1985-02-28,62126
46814,Sergi,Kushnir,Engineer,1985-03-01,57092
40802,Baocai,Ecklund,Engineer,1985-03-02,40839
34028,Heejo,Kieras,Senior Engineer,1985-03-03,51418
94768,Geoffrey,Brattka,Staff,1985-03-04,60128
12773,Jenwei,Lovengreen,Engineer,1985-03-05,65556
22416,Feiyu,Syrotiuk,Staff,1985-03-06,40000
54560,JiYoung,Peck,Engineer,1985-03-07,44296
34354,Kristen,Acton,Staff,1985-03-08,52117
36961,Qiwen,Thorelli,Engineer,1985-03-09,54795
13272,Arun,Jiang,Senior Staff,1985-03-10,40000
11949,Martijn,Harbusch,Technique Leader,1985-03-11,40000
15343,Chaosheng,Luce,Engineer,1985-03-12,48936
22810,Lena,Shanbhogue,Engineer,1985-03-13,49175
16803,Ziva,Rohrbach,Assistant Engineer,1985-03-14,50968
39756,Dmitri,Litecky,Staff,1985-03-15,77527
12803,Gad,Boissier,Staff,1985-03-16,91789
13124,Quingbo,Garnick,Senior Staff,1985-03-17,73785
24251,Moto,Mondadori,Senior Staff,1985-03-18,56717
17097,Cathie,Berztiss,Engineer,1985-03-19,46803
13846,Guiseppe,Welham,Senior Staff,1985-03-20,61097
20043,Chikara,Adachi,Engineer,1985-03-21,53571
78116,Tokuyasu,Beerel,Staff,1985-03-22,62386
13552,Ingmar,Capobianchi,Staff,1985-03-23,73346
41673,Armond,Matzel,Senior Engineer,1985-03-24,59816
12076,Karlis,Siprelle,Senior Staff,1985-03-25,75381
19653,Gay,Crooks,Technique Leader,1985-03-26,40000
12206,Barton,Janetzko,Assistant Engineer,1985-03-27,40000
11162,Kauko,Narlikar,Engineer,1985-03-28,69873
12722,Elliott,Cheshire,Senior Staff,1985-03-29,62325
22337,Leszek,Picci,Staff,1985-03-30,40000
24888,Murthy,Felder,Staff,1985-03-31,90268
23323,Siamak,Alvarado,Engineer,1985-04-01,48952
10453,Tsvetan,Matzel,Staff,1985-04-02,40000
58335,Chenye,Brodie,Staff,1985-04-03,41779
33522,Gift,Barinka,Staff,1985-04-04,40000
40907,Jaana,Rando,Engineer,1985-04-05,57079
14118,Kasturi,Anido,Senior Staff,1985-04-06,46248
39276,Alejandro,Busillo,Staff,1985-04-07,46595
24364,Erez,Orlowski,Engineer,1985-04-08,66205
12247,Subbu,Penttonen,Technique Leader,1985-04-09,59183
17089,Rafail,Erman,Staff,1985-04-10,67779
20068,Masali,Rouquie,Engineer,1985-04-11,40000
51622,Deniz,Casperson,Senior Engineer,1985-04-12,59715
11603,Herb,Swen,Staff,1985-04-13,69180
19950,Jaroslava,Kusakari,Engineer,1985-04-14,40000
25084,Alenka,Jullig,Senior Engineer,1985-04-15,61168
37991,Takahiro,Waleschkowski,Engineer,1985-04-16,40000
34752,Paddy,Stifter,Engineer,1985-04-17,62624
12816,Freyja,Ramras,Engineer,1985-04-18,66194
25035,Ayakannu,Flasterstein,Staff,1985-04-19,68043
10848,Fen,Bratsberg,Engineer,1985-04-20,50475
48557,Halsur,Picht,Staff,1985-04-21,40000
34947,Mario,Perfilyeva,Staff,1985-04-22,85470
49279,Jovan,Docker,Staff,1985-04-23,40000
32180,Abdelaziz,Hofman,Staff,1985-04-24,58455
26391,Baoqiu,Kermarrec,Staff,1985-04-25,59753
15600,Mack,Perna,Engineer,1985-04-26,40000
16365,Janalee,Mellouli,Staff,1985-04-27,40000
23589,Ziya,Perko,Engineer,1985-04-28,48998
21639,Caolyn,Domenig,Engineer,1985-04-29,44814
11393,Junsik,Junot,Engineer,1985-04-30,40000
34051,Jordanka,Motley,Senior Engineer,1985-05-01,40000
17745,Hatem,Schreiter,Engineer,1985-05-02,40000
24183,Muneo,Rousseau,Staff,1985-05-03,48461
26012,Eric,Marwedel,Engineer,1985-05-04,41765
21636,Munir,Erde,Staff,1985-05-05,48121
48233,Ugo,Simmel,Staff,1985-05-06,48877
22776,Ekawit,Whitcomb,Staff,1985-05-07,54775
19826,Fox,Christ,Senior Staff,1985-05-08,53382
14293,Qunsheng,Middleton,Senior Staff,1985-05-09,40000
14005,Vojin,Stellhorn,Technique Leader,1985-05-10,40000
33631,Tonny,Ozeri,Senior Staff,1985-05-11,66795
33270,Chanjung,Ebeling,Staff,1985-05-12,64195
12069,Ayonca,Burnard,Assistant Engineer,1985-05-13,51928
16852,Yefim,Fontet,Engineer,1985-05-14,48864
11295,Abdelkader,Lanzelotte,Staff,1985-05-15,66622
21692,Reinhard,Hitomi,Engineer,1985-05-16,57798
10258,Basil,Ishibashi,Assistant Engineer,1985-05-17,66280
28981,Dipayan,Bernardinello,Staff,1985-05-18,40000
18450,Takahito,Hoppenstand,Staff,1985-05-19,59963
26169,Boalin,Luca,Senior Engineer,1985-05-20,69803
14560,Elrique,Driscoll,Engineer,1985-05-21,62770
34107,Zejun,Ramaiah,Engineer,1985-05-22,40000
61038,Suzette,Sifakis,Engineer,1985-05-23,56297
16397,Shimshon,Cusworth,Staff,1985-05-24,66757
12341,Rasiah,Luga,Engineer,1985-05-25,40000
19637,Dipayan,Papastamatiou,Engineer,1985-05-26,45831
79251,Gennady,Taubenfeld,Staff,1985-05-27,63154
18061,Francesca,Taubman,Engineer,1985-05-28,57737
13969,Jianwen,Chandrasekhar,Technique Leader,1985-05-29,60392
37504,Mack,Maquelin,Engineer,1985-05-30,40000
27298,Stepehn,Loncour,Senior Engineer,1985-05-31,55080
23822,Faiza,Rosar,Engineer,1985-06-01,57773
51493,Lene,Birsak,Engineer,1985-06-02,49761
21894,Marke,Yemenis,Senior Staff,1985-06-03,54884
20528,Dines,Bednarek,Staff,1985-06-04,54377
50369,Shmuel,Gils,Staff,1985-06-05,91209
15253,Ayonca,Pardalos,Engineer,1985-06-06,40396
20674,Maria,Avouris,Staff,1985-06-07,54297
15767,Baocai,Broomell,Assistant Engineer,1985-06-08,40000
28529,Mabo,Griswold,Engineer,1985-06-09,45642
37060,Somnath,Morrey,Staff,1985-06-10,43123
23943,Hyuncheol,Fritzsche,Engineer,1985-06-11,64997
29026,Parto,Byoun,Engineer,1985-06-12,40000
17478,Tuval,Merle,Staff,1985-06-13,40000
30689,Jeong,Potthoff,Staff,1985-06-14,43243
19776,Kersti,Comellas,Assistant Engineer,1985-06-15,40000
36761,Zeljko,Hinsberger,Engineer,1985-06-16,40000
11081,Barry,Boyle,Staff,1985-06-17,65686
26356,Marin,Gubsky,Engineer,1985-06-18,50003
10988,Chinya,Deyuan,Senior Engineer,1985-06-19,54174
13697,Shuichi,Weedon,Technique Leader,1985-06-20,40000
22702,Faiza,Reeken,Senior Engineer,1985-06-21,40000
44186,Kendra,Vesel,Staff,1985-06-22,61738
49758,Radoslaw,Callaway,Engineer,1985-06-23,57572
21413,Laurentiu,Sherertz,Senior Staff,1985-06-24,102879
48376,Sreenivas,Wixon,Assistant Engineer,1985-06-25,50410
28757,Branimir,Poupard,Staff,1985-06-26,40000
14242,Sudhanshu,Benaini,Staff,1985-06-27,40000
42936,Chuanti,Nitsche,Staff,1985-06-28,97540
22812,Weiru,Kemmerer,Staff,1985-06-29,53399
80600,Yongdong,Werthner,Engineer,1985-06-30,40000
28327,Pascal,Welham,Engineer,1985-07-01,43771
21832,Suzette,Vecchio,Staff,1985-07-02,64710
78454,Masaki,Marciano,Senior Staff,1985-07-03,71643
10768,Ishfaq,Candan,Engineer,1985-07-04,65717
17340,Yurii,Brookman,Staff,1985-07-05,65863
10426,Arunas,Luce,Technique Leader,1985-07-06,65757
11322,Nathalie,Pocchiola,Assistant Engineer,1985-07-07,43021
29513,Genki,Cusworth,Engineer,1985-07-08,43835
60193,Sanjai,Gronowski,Technique Leader,1985-07-09,40000
22224,Brendon,Rohrbach,Staff,1985-07-10,61487
73314,Oguz,Weiland,Staff,1985-07-11,70697
21783,Domenick,Qiwen,Senior Engineer,1985-07-12,64772
51208,Arvin,Walstra,Staff,1985-07-13,64921
24861,Kiyokazu,Munoz,Staff,1985-07-14,68066
11038,Jinya,Beidas,Staff,1985-07-15,44993
37608,Kasturi,Linnainmaa,Engineer,1985-07-16,42490
12159,Shem,Perly,Senior Engineer,1985-07-17,61210
21507,Mansur,Benzmuller,Senior Staff,1985-07-18,40000
20860,Szabolcs,Michaels,Engineer,1985-07-19,40000
10989,Sumali,Candan,Staff,1985-07-20,46406
17699,Radhia,Heping,Engineer,1985-07-21,48618
23924,Shakhar,Solovay,Senior Engineer,1985-07-22,40000
43678,Shawna,Bernick,Staff,1985-07-23,73684
11070,Adib,Raney,Engineer,1985-07-24,40000
30167,Sorina,Tiemann,Engineer,1985-07-25,64649
26162,Yechiam,Grospietsch,Senior Engineer,1985-07-26,53817
13792,Valery,Sury,Staff,1985-07-27,59127
14513,Samphel,Barreiro,Senior Staff,1985-07-28,83273
25761,Hugo,Lundstrom,Staff,1985-07-29,55770
10372,Anneli,Frijda,Technique Leader,1985-07-30,54505
18784,Pohua,Hempstead,Staff,1985-07-31,48213
16019,Chaoyi,Heystek,Engineer,1985-08-01,40000
15876,Munehiro,Vakili,Assistant Engineer,1985-08-02,51140
43508,Mostafa,Trachtenberg,Engineer,1985-08-03,73028
26856,Kazuhiko,Cooke,Engineer,1985-08-04,50395
18138,Moni,Baezner,Staff,1985-08-05,62786
107823,Nimmagadda,Bail,Senior Engineer,1985-08-06,63309
13914,Serge,Albarhamtoshy,Senior Staff,1985-08-07,41526
35790,Barry,Ramsey,Assistant Engineer,1985-08-08,40000
26752,Deniz,Zockler,Engineer,1985-08-09,40000
16302,Bedir,Speek,Engineer,1985-08-10,40000
12308,Mototsugu,Cronau,Staff,1985-08-11,58741
17436,Chirstian,Munawer,Senior Staff,1985-08-12,79815
23224,Nikolaos,Engelmann,Staff,1985-08-13,50328
12534,Yongmao,Gerlach,Senior Engineer,1985-08-14,66715
10879,Muzhong,Chleq,Senior Engineer,1985-08-15,65651
30302,Amstein,Sankaranarayanan,Staff,1985-08-16,80557
28315,Hideo,Servi,Engineer,1985-08-17,44797
35851,Yongqiao,Uhrig,Staff,1985-08-18,67942
26960,Zhenbing,Delgrossi,Senior Engineer,1985-08-19,40000
26846,Ewing,Chinal,Assistant Engineer,1985-08-20,64015
33748,Bernt,Argence,Engineer,1985-08-21,68785
44735,Weiye,Gurbaxani,Staff,1985-08-22,68100
15412,Huai,Thiria,Engineer,1985-08-23,62190
31119,Yishay,Menhardt,Engineer,1985-08-24,42252
21454,Zsolt,Pocchiola,Staff,1985-08-25,40000
12256,Guadalupe,Reghbati,Staff,1985-08-26,40000
12662,Leucio,Alvarado,Assistant Engineer,1985-08-27,69016
14354,Mong,Bojadziev,Staff,1985-08-28,40000
11324,Kauko,Billingsley,Senior Engineer,1985-08-29,54288
17275,Shmuel,Danlos,Staff,1985-08-30,46660
10198,Pranav,Furedi,Engineer,1985-08-31,44076
11805,Rosine,Grandbois,Assistant Engineer,1985-09-01,40000
30882,Kiam,Ulupinar,Staff,1985-09-02,53969
13133,Guther,Senzako,Staff,1985-09-03,67777
83898,Erzsebet,England,Technique Leader,1985-09-04,40000
23470,Neven,Hutton,Engineer,1985-09-05,58086
12863,Leif,Matheson,Engineer,1985-09-06,62803
