emp_no,first_name,last_name,title,from_date,to_date
10095,Hilari,Morton,Senior Staff,2000-03-09,9999-01-01
10122,Ohad,Esposito,Technique Leader,1998-08-06,9999-01-01
10291,Dipayan,Seghrouchni,Staff,1987-03-30,1994-03-30
10410,Takahito,Gecsei,Staff,1993-10-16,1996-07-21
10476,Kokou,Iisaka,Senior Staff,1994-09-20,9999-01-01
10480,Make,Baba,Staff,1988-05-18,1989-06-03
10663,Teunis,Noriega,Technique Leader,1993-01-23,9999-01-01
10762,Lech,Himler,Staff,1992-01-21,1999-01-21
10933,Juyoung,Seghrouchni,Senior Engineer,1993-08-02,9999-01-01
11015,Jeanna,Riesenhuber,Senior Staff,1998-03-14,2000-02-22
11126,Hideo,Daescu,Senior Staff,1999-02-25,2002-04-04
11157,Mario,Cochrane,Engineer,1985-03-30,1991-02-06
11432,Yongmao,Zwicker,Engineer,1987-10-19,1996-10-18
12155,Keiichiro,Glinert,Engineer,1993-09-16,2001-09-16
12408,Rasiah,Sudkamp,Senior Engineer,1995-04-18,9999-01-01
12643,Morrie,Schurmann,Staff,1998-12-31,9999-01-01
13499,Kazuhiko,Sidou,Technique Leader,1991-09-01,9999-01-01
13957,Angus,Chelton,Senior Engineer,1986-04-18,1987-02-02
14075,Denny,Tchuente,Engineer,1998-05-30,9999-01-01
14104,Sudhanshu,Demian,Staff,1994-07-23,1999-07-23
14127,Magdalena,Cannard,Engineer,1994-04-22,2002-04-22
14158,Caolyn,Setiz,Senior Staff,1996-02-06,9999-01-01
14476,Sastry,Marrevee,Engineer,1999-09-25,9999-01-01
14551,Richard,Sinitsyn,Senior Staff,1993-06-27,1993-09-16
14907,Nakhoon,Luga,Senior Staff,1994-12-18,9999-01-01
15050,Nikolaos,Kruskal,Senior Engineer,1996-12-16,9999-01-01
15058,Bouchung,Bugrara,Senior Staff,1998-06-18,9999-01-01
15376,Geoff,Soicher,Senior Staff,1996-08-14,2001-03-01
15413,Arvin,Rabejac,Engineer,1994-01-01,2002-01-01
16461,Remmert,Schahn,Staff,1986-09-06,1994-09-06
16528,Gaurav,Swick,Assistant Engineer,1996-05-07,2001-05-07
17013,Morris,Garigliano,Staff,1995-05-24,2000-05-23
17206,Berry,DeMori,Engineer,1992-12-27,1998-12-27
17369,Yaghout,Kenevan,Engineer,1993-01-28,1998-01-28
17447,Zengping,Boreale,Staff,1998-12-16,9999-01-01
17618,Teiji,Picco,Staff,1992-09-17,1999-11-08
17731,Gennady,Roison,Assistant Engineer,1989-12-06,1997-12-06
17799,Gro,Gini,Engineer,1997-09-28,2001-07-11
17970,Filipp,Carrere,Technique Leader,1989-01-09,9999-01-01
17988,Mabhin,Calkin,Engineer,1989-11-30,1997-11-30
18021,Adil,Matzke,Engineer,1987-05-08,1995-05-08
18187,Denis,Falster,Staff,1998-12-21,1999-06-03
18424,Filipp,Rousseau,Engineer,1995-06-07,2002-06-07
18583,Stafford,Honglei,Staff,1998-08-16,9999-01-01
18617,Surveyors,Crouzet,Senior Staff,1998-04-24,9999-01-01
18810,Taiji,Jarecki,Senior Engineer,1999-06-27,9999-01-01
19236,Elzbieta,Morris,Engineer,1988-07-12,1993-07-12
19350,Satoru,Yoshizawa,Staff,1994-03-27,1999-03-27
19803,Ziva,Kowalchuk,Engineer,1987-06-13,1992-06-12
20100,Utz,Heuter,Senior Staff,1995-06-15,9999-01-01
20128,Kazunori,Peak,Senior Staff,1999-08-13,9999-01-01
20129,Rafael,Skafidas,Engineer,1991-03-28,2000-03-27
20248,Vidar,Demri,Staff,1999-12-31,9999-01-01
20313,Candida,Benveniste,Engineer,1999-01-20,9999-01-01
20500,Christoph,Trystram,Staff,1993-10-15,1998-10-15
20712,Valeri,Escriba,Engineer,1994-04-09,1998-05-02
20720,Heejo,Brodie,Senior Staff,1996-12-27,1997-05-17
20885,Otmar,Rothenberg,Engineer,1989-03-14,1996-03-14
21181,Jianhui,Cangellaris,Engineer,1999-10-06,9999-01-01
21188,Piyush,Danecki,Engineer,2000-01-08,9999-01-01
21534,Alagu,Luders,Staff,1996-04-03,1997-12-14
21546,Yongmin,Lanteri,Senior Staff,1988-02-16,9999-01-01
21843,Karsten,Azadmanesh,Senior Engineer,1985-11-29,9999-01-01
21909,Mohammed,Brizzi,Senior Staff,1998-12-28,9999-01-01
22027,Sangeeta,Georg,Staff,1992-07-31,1998-03-14
22185,Huai,Birch,Assistant Engineer,1996-03-26,2002-03-26
22415,Perla,Jumpertz,Senior Staff,1994-08-24,9999-01-01
22451,Jasminko,Bresenham,Senior Staff,1996-12-15,9999-01-01
22455,Barry,Unno,Senior Staff,1999-11-16,9999-01-01
22502,Rutger,Binkley,Senior Engineer,1989-10-16,2001-11-02
22926,Manibrata,Genther,Engineer,1988-01-15,1996-01-15
23396,Hilari,Fairtlough,Technique Leader,1986-12-15,9999-01-01
24080,Jaana,Perez,Technique Leader,1996-03-11,9999-01-01
24189,Abdelaziz,Atrawala,Staff,1993-03-28,1997-02-23
24205,Roddy,Rubsam,Senior Engineer,1993-09-19,9999-01-01
24377,Lubomir,Wroclawski,Engineer,1993-07-25,2000-07-25
24394,Zhonghui,Conta,Staff,1994-09-10,9999-01-01
24421,Dannz,Grospietsch,Senior Engineer,1990-09-01,2000-10-12
24553,Anwar,Passafiume,Staff,1987-01-30,1994-01-30
24571,Cordelia,Gischer,Senior Engineer,1995-03-14,9999-01-01
25488,Ingmar,Basawa,Senior Staff,1997-11-08,9999-01-01
26476,Bilhanan,Karcich,Staff,1996-04-09,1997-02-04
